candidate_id,full_name,experience_years
UV100,hoang   van e,3
 uv101,LE VAN  C,-1
UV102,LE VAN  C,-1
 uv103,  trAn  thi b,-1
UV104,pham  thi d,-1
UV105 ,  trAn  thi b,4
UV106,Nguyen van A,1
UV107,hoang   van e,2
UV108,hoang   van e,4
UV109,LE VAN  C,-1
UV110,  trAn  thi b,3
 uv111,  trAn  thi b, 5 
UV112 ,Nguyen van A,1
UV113,hoang   van e,3y
UV114,Nguyen van A, 5 
 uv115,LE VAN  C,1
UV116 ,pham  thi d,-1
UV117,LE VAN  C,3
UV118 ,  trAn  thi b,2
 uv119,pham  thi d, 5 
 uv120,pham  thi d,3y
UV121 ,  trAn  thi b,3y
 uv122,hoang   van e, 5 
UV123 ,  trAn  thi b,3y
 uv124,  trAn  thi b,4
